Date,Avg_Actual_Turbidity,Avg_Predicted_Turbidity,Avg_MAE
2020-02-02,10.794166666666667,16.952806128996116,6.158639462329449
2020-02-03,7.577500000000001,11.704791533599298,4.127291533599298
2020-02-04,5.745416666666666,10.232546823229642,4.487130156562975
2020-02-05,18.59375,9.500261734786134,12.898340737484396
2020-02-06,38.11625,22.614378829405954,15.501871170594045
2020-02-07,34.51291666666666,42.0596587091436,19.653330970282358
2020-02-08,21.75,32.230009486662844,10.480009486662848
2020-02-09,33.58541666666667,21.45474894470225,12.226387694564957
2020-02-10,48.655833333333334,36.466605760405464,20.157230263302726
2020-02-11,31.40041666666667,47.26067770796518,15.860261041298513
2020-02-12,22.719166666666666,31.209393048956994,8.490226382290325
2020-02-13,75.12041666666667,23.722382510863245,51.39803415580342
2020-02-14,81.44541666666667,59.40647283186516,22.151160623729226
