Actual_Class,Predicted_Class,Safe_Probability,Warning_Probability,Unsafe_Probability,Conductivity,NO3,Temp,Turbidity,Level,Q,Hour_sin,Hour_cos,Month_sin,Month_cos,IsWeekend,Correct_Prediction
Warning,Warning,0.0,1.0,0.0,364.5,0.351,24.89,6.64,0.755,1.6245,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.0,1.0,0.0,449.9,0.482,24.0,8.43,0.637,0.6838333333333334,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,0.0,1
Warning,Warning,0.0001598144543115341,0.9998401855456884,0.0,402.63,0.234,25.89,29.28,0.81,2.1081666666666665,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.49999999999999983,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,4346.8,0.446,28.83,196.5,8.438571428571429,-48.905,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,0.0,1
Safe,Safe,1.0,0.0,0.0,39.22,0.173,21.39,4.03,2.585,100.46666666666664,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1
Safe,Safe,1.0,0.0,0.0,652.37,0.638,22.03,2.33,0.585,0.425,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,0.0,1
Safe,Safe,0.9778889732355944,0.022111026764405527,0.0,41.65,0.101,21.39,4.32,10.492857142857146,21.647,0.7071067811865475,0.7071067811865476,-0.4999999999999998,-0.8660254037844388,0.0,1
Safe,Safe,0.9953503492940401,0.004557108562152199,9.254214380760296e-05,19929.26,0.025,29.29,4.15,10.511428571428572,-37.15466666666666,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0,1.0,1
Warning,Warning,0.0,1.0,0.0,39.32,0.183,24.43,5.94,3.025,132.18333333333334,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,1.0,1
Warning,Warning,0.0,1.0,0.0,199.22,0.297,25.88,19.32,1.96,8.385,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0,1
Unsafe,Unsafe,0.0,0.0,1.0,44049.96900000001,0.352,28.12,141.01,8.774285714285714,-49.11666666666667,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0.0,1
Warning,Warning,0.0,1.0,0.0,56.53,0.102,23.93,7.41,14.910000000000002,201.38,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,1.0,1
Safe,Safe,1.0,0.0,0.0,39.19,0.174,21.1,3.89,2.563,99.01666666666664,0.7071067811865475,0.7071067811865476,1.2246467991473532e-16,-1.0,0.0,1
Warning,Warning,0.0,1.0,0.0,222.23,0.113,25.03,22.91,11.81,369.24633333333327,-0.4999999999999998,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.0,1
Warning,Warning,0.006818367431646414,0.9931816325683536,0.0,43.25,0.162,23.73,13.43,10.724,154.74583333333334,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.0,1
Warning,Warning,0.02857829105068329,0.9714217089493168,0.0,408.74,0.4320000000000001,24.73,5.03,0.705,1.2281666666666666,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0,1
Safe,Safe,1.0,0.0,0.0,438.54,0.39,19.79,2.36,0.525,0.1991666666666667,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,0.0,1
Safe,Safe,0.9903921713363774,0.0,0.009607828663622656,73.23,0.096,23.16,2.3,15.145,37.03666666666667,-0.4999999999999998,-0.8660254037844388,-0.4999999999999998,-0.8660254037844388,0.0,1
Warning,Warning,0.01,0.9741222642362546,0.01587773576374544,95.23,1.097,25.05,22.48,15.672,207.17416666666668,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,0.0,1
Safe,Safe,0.9987916821388785,0.0012083178611214259,0.0,535.34,0.098,27.23,2.8,0.526,0.2003333333333333,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,0.0,1
Warning,Warning,0.021238544343425442,0.9787614556565747,0.0,44.37,0.136,25.76,5.1,10.514285714285714,99.08783333333334,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1
Safe,Safe,1.0,0.0,0.0,661.37,0.659,21.92,2.16,0.57,0.3593333333333333,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,0.0,1
Unsafe,Unsafe,0.0,0.01,0.99,40184.512,0.221,28.8,103.34,8.432857142857143,-46.12666666666666,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384,1.0,1
Safe,Safe,1.0,0.0,0.0,687.14,0.672,21.42,2.13,0.5579999999999999,0.3091666666666666,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387,0.0,1
Warning,Warning,0.0,1.0,0.0,40.48,0.21,26.75,8.23,2.928,124.98333333333332,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,1.0,1
Safe,Safe,0.9994132196438298,0.0004942382123625682,9.254214380760296e-05,10268.6,0.085,25.5,3.25,10.141428571428571,73.58449999999998,0.0,1.0,-1.0,-1.8369701987210297e-16,1.0,1
Safe,Safe,1.0,0.0,0.0,39.02,0.176,22.45,4.49,2.508,95.8,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.0,1
